Date,Value,Anomaly
194808,60.6,-5.9
194908,63.1,-3.4
195008,63.8,-2.7
195108,61.7,-4.8
195208,63.0,-3.5
195308,62.8,-3.7
195408,60.6,-5.9
195508,61.0,-5.5
195608,63.0,-3.5
195708,61.7,-4.8
195808,66.6,0.1
195908,62.3,-4.2
196008,62.2,-4.3
196108,68.4,1.9
196208,62.1,-4.4
196308,64.6,-1.9
196408,62.3,-4.2
196508,65.4,-1.1
196608,64.1,-2.4
196708,70.3,3.8
196808,62.9,-3.6
196908,63.2,-3.3
197008,64.0,-2.5
197108,67.2,0.7
197208,66.2,-0.3
197308,61.0,-5.5
197408,63.6,-2.9
197508,62.2,-4.3
197608,62.4,-4.1
197708,66.8,0.3
197808,63.7,-2.8
197908,63.7,-2.8
198008,61.7,-4.8
198108,67.8,1.3
198208,64.8,-1.7
198308,65.3,-1.2
198408,64.7,-1.8
198508,64.9,-1.6
198608,68.1,1.6
198708,65.9,-0.6
198808,65.1,-1.4
198908,65.0,-1.5
199008,67.0,0.5
199108,66.3,-0.2
199208,66.5,0.0
199308,65.2,-1.3
199408,66.6,0.1
199508,62.2,-4.3
199608,65.7,-0.8
199708,68.2,1.7
199808,67.2,0.7
199908,65.2,-1.3
200008,63.9,-2.6
200108,65.2,-1.3
200208,65.6,-0.9
200308,66.8,0.3
200408,67.5,1.0
200508,67.2,0.7
200608,65.8,-0.7
200708,65.5,-1.0
200808,65.8,-0.7
200908,65.5,-1.0
201008,65.3,-1.2
201108,65.8,-0.7
201208,67.3,0.8
201308,68.5,2.0
201408,68.2,1.7
201508,67.8,1.3
201608,67.8,1.3
201708,69.4,2.9
201808,67.9,1.4
201908,68.2,1.7
202008,67.0,0.5
202108,67.5,1.0
202208,70.0,3.5
202308,69.9,3.4
202408,66.5,0.0
