Date,Value
194809,56.5
194909,60.2
195009,57.8
195109,59.1
195209,59.2
195309,59.7
195409,58.7
195509,57
195609,57.9
195709,62.7
195809,59.8
195909,57.5
196009,58
196109,58.7
196209,59.6
196309,63.6
196409,58.2
196509,58
196609,61.1
196709,64.9
196809,58.3
196909,60.1
197009,58.1
197109,57
197209,54.8
197309,61.3
197409,63.4
197509,62
197609,60.8
197709,57.2
197809,57.1
197909,62.3
198009,59.3
198109,60.7
198209,60.3
198309,58
198409,59.6
198509,57.8
198609,58.8
198709,62.2
198809,60.2
198909,63.8
199009,63.1
199109,62.6
199209,59.7
199309,61.6
199409,63.6
199509,63.3
199609,58.5
199709,62.6
199809,63.6
199909,61.2
200009,60.6
200109,60.2
200209,61
200309,63
200409,59.3
200509,59.9
200609,62.2
200709,59.8
200809,60.9
200909,62.3
201009,60.8
201109,63.9
201209,62.2
201309,62.5
201409,63.8
201509,59.6
201609,60.3
201709,63.8
201809,61.4
201909,61.9
202009,64.6
202109,61.9
202209,64.8
202309,62
